trial,sigma,gap,method,n_missing,rmse,mae,bias
9,0.05,4,linear,12,0.1805762816617018,0.16467553547490854,-0.16467553547490854
10,0.05,4,locf,12,0.18767406148320345,0.16379030363059785,0.032395229383166475
10,0.05,4,nearest,12,0.13986813796148623,0.11546007537607984,0.028132564030662378
10,0.05,4,linear,12,0.06904681989810246,0.06566884119436278,0.02813256403066237
11,0.05,4,locf,12,0.31918133860262227,0.2077822416404683,-0.120890291421664
11,0.05,4,nearest,12,0.1671144114015972,0.13301370534081378,0.010796286318860218
11,0.05,4,linear,12,0.05886551781983471,0.05081410449914466,0.010796286318860204
12,0.05,4,locf,12,0.3069805237874395,0.25993011341928113,-0.0553355992378445
12,0.05,4,nearest,12,0.17185261965276855,0.13383896321024646,-0.07370814834052702
12,0.05,4,linear,12,0.0950838182655068,0.08255771605731337,-0.07370814834052702
13,0.05,4,locf,12,0.2795012726302274,0.21836003261220985,-0.212547492571853
13,0.05,4,nearest,12,0.18020682149563505,0.134222516196568,-0.022785897987441277
13,0.05,4,linear,12,0.08255102607246699,0.07461918280326395,-0.022785897987441295
14,0.05,4,locf,12,0.18267685333766379,0.1503840209351449,0.0001660749840456018
14,0.05,4,nearest,12,0.1545560969641398,0.12966989459959735,-0.09293161947479577
14,0.05,4,linear,12,0.09994736176837098,0.09293161947479574,-0.09293161947479574
15,0.05,4,locf,12,0.5155841353606981,0.42827570348799887,0.028829389023733235
15,0.05,4,nearest,12,0.2935107887100022,0.24055409908939876,0.10899214183099228
15,0.05,4,linear,12,0.12101463922088217,0.10899214183099226,0.10899214183099226
16,0.05,4,locf,12,0.5374808866617267,0.4744996867110862,-0.19514796836310336
16,0.05,4,nearest,12,0.3240344953800124,0.29706550006517746,0.00531381721537721
16,0.05,4,linear,12,0.06302083949044696,0.05032591020242477,0.005313817215377226
17,0.05,4,locf,12,0.4088054632197969,0.3402183902054651,-0.00860551724190762
17,0.05,4,nearest,12,0.25868970400198416,0.2183671249702375,0.09525811096100256
17,0.05,4,linear,12,0.12428625403622955,0.10033713087670698,0.09525811096100256
18,0.05,4,locf,12,0.35130762041114344,0.2705525650879207,0.04538446154729305
18,0.05,4,nearest,12,0.19378058604680548,0.15874708563688417,-0.0009198658597296452
18,0.05,4,linear,12,0.031929174701747595,0.024657746317947874,-0.0009198658597296266
19,0.05,4,locf,12,0.18350490212464554,0.15094253702898375,0.01662266171015357
19,0.05,4,nearest,12,0.1247439574762393,0.09554312153208777,-0.030645972429965324
19,0.05,4,linear,12,0.03681018359761447,0.031324414677152246,-0.03064597242996533
20,0.05,4,locf,12,0.20635348350691432,0.17880430305892256,0.17668757447489816
20,0.05,4,nearest,12,0.19931884550015383,0.15803103788657724,0.030741896670213816
20,0.05,4,linear,12,0.15161597789535217,0.13972159714569676,0.030741896670213806
21,0.05,4,locf,12,0.4902211636215721,0.39339268405465805,-0.06610784301995286
21,0.05,4,nearest,12,0.2687251318452969,0.21423003584035175,-0.005884483169946965
21,0.05,4,linear,12,0.10010027644076176,0.08828616665742328,-0.0058844831699469595
22,0.05,4,locf,12,0.16443098106290796,0.14205201446005264,0.050503457034797604
22,0.05,4,nearest,12,0.17694426491573273,0.13973130733651784,-0.07407409366367979
22,0.05,4,linear,12,0.15092404062564665,0.13721234392652687,-0.0740740936636798
23,0.05,4,locf,12,0.4662082069952299,0.4106435585394867,-0.04848405261215231
23,0.05,4,nearest,12,0.26290095668656066,0.22508413334347166,-0.046443677322809886
23,0.05,4,linear,12,0.05214399775742653,0.04644367732280987,-0.04644367732280987
24,0.05,4,locf,12,0.4250324925782549,0.33555544783504665,-0.03724793764928489
24,0.05,4,nearest,12,0.2282699800047359,0.17861353706041508,0.04921161555437869
24,0.05,4,linear,12,0.11169691222020517,0.10567789796511894,0.049211615554378675
25,0.05,4,locf,12,0.18050122371245847,0.12402326327472135,0.09288040230861405
25,0.05,4,nearest,12,0.1887744709211082,0.1399308798145713,0.024941024658330684
25,0.05,4,linear,12,0.11283132288244442,0.09926505208214463,0.024941024658330688
26,0.05,4,locf,12,0.553928888291174,0.5097808278122749,0.15911803495590304
26,0.05,4,nearest,12,0.2998063871301691,0.2587480290265584,-0.007102848347193834
26,0.05,4,linear,12,0.10503315672488847,0.09351389129086818,-0.007102848347193834
